drug,l2s2_n_total,l2s2_n_signatures,l2s2_n_significant,l2s2_n_significant_mimic,l2s2_n_significant_general,l2s2_signatures,l2s2_mimic_signatures,l2s2_general_signatures,l2s2_n_sig_pval,l2s2_min_pvalue,l2s2_min_adj_pvalue,l2s2_min_pvalue_general,l2s2_min_adj_pvalue_general,l2s2_min_pvalue_up,l2s2_min_adj_pvalue_up,l2s2_mean_neglog10p,l2s2_max_neglog10p,l2s2_mean_odds_ratio,l2s2_max_odds_ratio,l2s2_direction,l2s2_retrieval_sort,l1k_n_total,l1k_n_signatures,l1k_signatures,l1k_mean_score,l1k_max_score,l1k_false_rescue,n_engines,n_total_signatures,regulatory_status,approved_jurisdiction,mechanism,target_axis,candidate_tier,lincs_eligible,lookup_source,mechanism_flag,firewall_status,firewall_reason,lincs_drug,signature_has_nominal_genes
mitomycin c,1,1,0,0,0,GSE22206_case_v_control_100_rescue,,,1,0.0153708014007478,0.3748740546915936,0.7032150772530047,1.0,0.9999999999998942,1.0,1.813,1.813,0.924,0.924,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,cytotoxic_cancer,REJECT,not_matched_to_candidate_or_axis; cytotoxic_or_cancer_mechanism; no_significant_fdr_lincs_signal,mitomycin c,False
decitabine,6,6,0,0,0,GSE22206_case_v_control_100_rescue,,,1,0.015409187662461,0.3748740546915936,0.2065266506771264,1.0,0.0038059567772169,0.1012881622546202,0.303,1.812,0.419,1.649,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,cytotoxic_cancer,REJECT,not_matched_to_candidate_or_axis; cytotoxic_or_cancer_mechanism; no_significant_fdr_lincs_signal,decitabine,False
everolimus,11,11,0,8,1,GSE134780_HH_v_WT_fat_150_rescue,GSE22206_LCL_case_v_control_100_rescue;GSE22206_LCL_case_v_control_150_rescue;GSE22206_LCL_case_v_control_250_rescue;GSE22206_case_v_control_150_rescue;GSE22206_case_v_control_250_rescue;GSE22206_fibro_case_v_control_100_rescue;GSE22206_fibro_case_v_control_150_rescue;GSE22206_fibro_case_v_control_250_rescue,GSE22206_case_v_control_100_rescue,1,0.0154313035165776,1.0,1.1409501009410378e-05,0.0007731580440489,3.1372285610892255e-10,6.432744563215227e-08,0.167,1.812,0.719,2.808,MIMIC,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,APPROVED_MEDICATION,FDA; EMA,mTORC1 inhibitor; paediatric-approved for TSC-SEGA,MTORC1/autophagy via FKBP1A,Tier2-AUTOPHAGY,True,track2_candidates,mechanism_ok,REJECT,no_significant_fdr_lincs_signal,everolimus,False
teniposide,1,1,0,0,1,GSE22206_case_v_control_100_rescue,,GSE22206_case_v_control_100_rescue,1,0.0175448208663966,0.4222889064917287,8.729500612756273e-06,0.0006269998455987,0.9972629624375136,1.0,1.756,1.756,5.276,5.276,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,teniposide,False
daunorubicin,7,7,0,0,0,GSE22206_case_v_control_100_rescue,,,1,0.0191928091406626,0.452330527924472,0.6083971391844993,1.0,0.0009416054977802,0.0982061858422333,0.245,1.717,0.223,1.0,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,daunorubicin,False
irinotecan,1,1,0,0,0,GSE22206_case_v_control_100_rescue,,,1,0.0304997228623949,0.6219831289195356,0.2143796877461062,1.0,1.0000000000000435,1.0,1.516,1.516,1.738,1.738,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,cytotoxic_cancer,REJECT,not_matched_to_candidate_or_axis; cytotoxic_or_cancer_mechanism; no_significant_fdr_lincs_signal,irinotecan,False
disulfiram,3,3,0,0,0,GSE22206_case_v_control_100_rescue,,,1,0.0305969325830448,0.6219831289195356,0.3025567049947701,1.0,0.0018089548541641,0.0827401047291609,0.505,1.514,0.516,1.51,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,disulfiram,False
maprotiline,2,2,0,0,0,GSE22206_case_v_control_100_rescue,,,1,0.0306050197354747,0.6219831289195356,0.3114115097900933,1.0,1.0,1.0,0.757,1.514,0.746,1.492,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,maprotiline,False
amiodarone,1,1,0,0,0,GSE22206_case_v_control_100_rescue,,,1,0.0307116794329732,0.6219831289195356,0.454308884996758,1.0,1.0000000000003348,1.0,1.513,1.513,1.243,1.243,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,amiodarone,False
dacomitinib,2,2,0,0,0,GSE22206_case_v_control_100_rescue,,,1,0.0307543682156778,0.6219831289195356,0.0028492258512603,0.456648759622519,0.5000000000002951,1.0,0.819,1.512,2.237,3.331,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,dacomitinib,False
temsirolimus,6,6,0,0,0,GSE22206_case_v_control_100_rescue,,,1,0.0343257916781384,0.6753226406242446,0.1348240483637218,1.0,0.0018478113012012,0.1034007020918714,0.244,1.464,0.448,1.7,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,APPROVED_MEDICATION,,FK506-binding protein 1A inhibitor,FK506-binding protein 1A inhibitor,,True,chembl_axis_approved,mechanism_ok,REJECT,no_significant_fdr_lincs_signal,temsirolimus,False
atorvastatin,5,5,0,0,0,GSE22206_case_v_control_100_rescue,,,1,0.0346376459814336,0.6773820599230344,0.3527616994261899,1.0,0.0154030567835965,0.3262240921439919,0.485,1.46,0.483,1.349,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,atorvastatin,False
simvastatin,9,9,0,0,0,GSE22206_case_v_control_100_rescue,,,1,0.0347357422234609,0.6773820599230344,0.1998288327504761,1.0,0.0009430961489773,0.0628387910165974,0.163,1.459,0.343,1.587,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,simvastatin,False
gdc 0199,10,10,0,0,0,,,,0,0.061913541228312,1.0,0.118656277229213,1.0,0.0018908787761269,0.0622660934215553,0.207,1.208,0.457,1.844,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,gdc 0199,False
ibrutinib,11,11,0,4,0,,GSE134780_HH_v_WT_fat_250_rescue;GSE22206_LCL_case_v_control_100_rescue;GSE22206_LCL_case_v_control_150_rescue;GSE22206_LCL_case_v_control_250_rescue,,0,0.0622050564782234,1.0,0.0188393562333082,1.0,2.1469975076314866e-07,0.0001446539570766,0.124,1.206,0.39,1.921,MIMIC,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,ibrutinib,False
menadione,2,2,0,0,0,,,,0,0.0880588705065152,1.0,0.0283927187349465,0.6944705528412608,0.0152034815807246,0.4040540003663931,0.528,1.055,1.256,2.266,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,menadione,False
raloxifene,10,10,0,0,0,,,,0,0.0891646378939563,1.0,0.65212045300635,1.0,0.0019050173761259,0.0622660934215553,0.123,1.05,0.232,0.977,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,raloxifene,False
trametinib,9,9,0,2,0,,GSE22206_LCL_case_v_control_150_rescue;GSE22206_LCL_case_v_control_250_rescue,,0,0.0892084655541537,1.0,0.2837110435230787,1.0,5.752966668271712e-05,0.0170956164881808,0.224,1.05,0.247,1.34,MIMIC,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,trametinib,False
lapatinib,11,11,0,4,0,,GSE134780_HH_v_WT_fat_250_rescue;GSE22206_LCL_case_v_control_100_rescue;GSE22206_LCL_case_v_control_150_rescue;GSE22206_case_v_control_150_rescue,,0,0.1040747748551564,1.0,0.1561648981147981,1.0,2.1043860332389975e-07,0.0001446539570766,0.115,0.983,0.562,1.779,MIMIC,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,lapatinib,False
auranofin,3,3,0,0,0,,,,0,0.1075994395107004,1.0,0.0869482589439808,1.0,0.9849608852558902,1.0,0.323,0.968,0.718,2.154,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,auranofin,False
diltiazem,5,5,0,0,0,,,,0,0.1082624623221629,1.0,0.0736995477316326,1.0,0.0037355089065598,0.2197721896039215,0.193,0.966,0.541,2.252,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,diltiazem,False
amlodipine,4,4,0,0,0,,,,0,0.1085723465935721,1.0,0.1118522533559445,1.0,0.0037826015996027,0.2474500626389431,0.316,0.964,0.762,1.874,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,amlodipine,False
fostamatinib,11,11,0,3,0,,GSE134780_HH_v_WT_fat_250_rescue;GSE22206_LCL_case_v_control_100_rescue;GSE22206_LCL_case_v_control_250_rescue,,0,0.1089886676606061,1.0,0.0381642650000463,1.0,1.4278116746841386e-05,0.0049295575134556,0.093,0.963,0.625,2.163,MIMIC,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,fostamatinib,False
nilotinib,7,7,0,0,0,,,,0,0.1088024228930414,1.0,0.2935511713369392,1.0,0.0038177979740076,0.1012881622546202,0.164,0.963,0.398,1.452,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,nilotinib,False
belinostat,10,10,0,1,0,,GSE22206_case_v_control_150_rescue,,0,0.1313785556264978,1.0,0.0075686976038545,0.2290497747500874,6.375461151373017e-06,0.0012727623746643,0.088,0.881,0.387,2.307,MIMIC,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,belinostat,False
digoxin,5,5,0,1,0,,GSE22206_fibro_case_v_control_250_rescue,,0,0.1434618578496405,1.0,0.4091440817981147,1.0,0.0004597497298031,0.017471638113674,0.169,0.843,0.304,1.206,MIMIC,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,digoxin,False
calcitriol,8,8,0,0,0,,,,0,0.1709491383469779,1.0,0.0905555744893732,1.0,0.0009439407334024,0.0516372557950343,0.096,0.767,0.454,1.726,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,calcitriol,False
protriptyline,1,1,0,0,0,,,,0,0.1859433302599565,1.0,0.1983228444277737,1.0,0.9695225336163632,1.0,0.731,0.731,1.79,1.79,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,protriptyline,False
lonafarnib,1,1,0,0,0,,,,0,0.186337206289558,1.0,0.395002892023269,1.0,0.9693281578767378,1.0,0.73,0.73,1.335,1.335,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,lonafarnib,False
cyt 387,5,5,0,0,0,,,,0,0.1866877832478332,1.0,0.7014036732756316,1.0,0.0018631683014264,0.1740015623884907,0.146,0.729,0.276,0.932,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,cyt 387,False
nintedanib,1,1,0,0,0,,,,0,0.1865465277049949,1.0,0.5641559778012856,1.0,0.9692245576114208,1.0,0.729,0.729,1.094,1.094,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,nintedanib,False
pazopanib,10,10,0,5,0,,GSE134780_HH_v_WT_fat_250_rescue;GSE22206_LCL_case_v_control_150_rescue;GSE22206_LCL_case_v_control_250_rescue;GSE22206_case_v_control_150_rescue;GSE22206_case_v_control_250_rescue,,0,0.2260014102146577,1.0,0.4437098535789301,1.0,1.4047212996200051e-05,0.0022292146624247,0.065,0.646,0.347,1.217,MIMIC,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,pazopanib,False
methazolamide,4,4,0,0,0,,,,0,0.3424183024589924,1.0,0.0064051991018093,0.7558134940135043,0.8926112180211809,1.0,0.116,0.465,1.01,4.039,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,methazolamide,False
crizotinib,11,11,0,2,0,,GSE134780_HH_v_WT_fat_250_rescue;GSE22206_fibro_case_v_control_250_rescue,,0,0.3868461890786722,1.0,0.771988119721623,1.0,0.0001170872174887,0.017471638113674,0.042,0.412,0.194,0.868,MIMIC,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,crizotinib,False
idelalisib,7,7,0,4,0,,GSE134780_HH_v_WT_fat_250_rescue;GSE22206_LCL_case_v_control_100_rescue;GSE22206_LCL_case_v_control_150_rescue;GSE22206_LCL_case_v_control_250_rescue,,0,0.5000000000004589,1.0,0.9613860254535408,1.0,1.3845327168666284e-05,0.0051839297756903,0.043,0.301,0.227,0.574,MIMIC,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,idelalisib,False
imatinib,11,11,0,2,0,,GSE22206_LCL_case_v_control_100_rescue;GSE22206_LCL_case_v_control_150_rescue,,0,0.4999999999989203,1.0,0.3673978531577641,1.0,0.0001165112550993,0.0261669891076909,0.039,0.301,0.205,1.232,MIMIC,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,imatinib,False
indinavir,3,3,0,0,0,,,,0,0.5000000000000945,1.0,0.3119651485982995,1.0,0.0076104618992815,0.2043182882774012,0.1,0.301,0.564,1.49,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,indinavir,False
salmeterol,2,2,0,0,0,,,,0,0.4999999999999493,1.0,0.1663541565156237,1.0,0.0037349742394666,0.0863440394998882,0.151,0.301,0.961,1.908,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,salmeterol,False
thalidomide,7,7,0,1,0,,GSE22206_fibro_case_v_control_250_rescue,,0,0.5000000000003234,1.0,0.3493828385888195,1.0,0.0009256517413519,0.0302580797481067,0.043,0.301,0.3,1.416,MIMIC,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; pediatric_safety_contraindication; no_significant_fdr_lincs_signal,thalidomide,False
trilostane,3,3,0,0,0,,,,0,0.4999999999998708,1.0,0.0059275400405005,1.0,0.003560876280423,0.2474500626389431,0.105,0.301,3.141,4.93,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,trilostane,False
olaparib,11,11,0,3,0,,GSE22206_LCL_case_v_control_100_rescue;GSE22206_fibro_case_v_control_100_rescue;GSE22206_fibro_case_v_control_150_rescue,,0,0.6369932170116209,1.0,0.4428215959547943,1.0,1.4362568643397844e-05,0.0051839297756903,0.036,0.196,0.234,1.168,MIMIC,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,cytotoxic_cancer,REJECT,not_matched_to_candidate_or_axis; cytotoxic_or_cancer_mechanism; no_significant_fdr_lincs_signal,olaparib,False
valproic acid,10,10,0,4,0,,GSE22206_LCL_case_v_control_100_rescue;GSE22206_case_v_control_150_rescue;GSE22206_case_v_control_250_rescue;GSE22206_fibro_case_v_control_250_rescue,,0,0.6566824269334199,1.0,0.3801018394315685,1.0,3.3066351799441983e-06,0.0007912502432674,0.018,0.183,0.288,1.307,MIMIC,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,valproic acid,False
pentoxifylline,3,3,0,0,0,,,,0,0.6569538319951718,1.0,0.0378201889555115,1.0,0.0152762386128819,0.3925736407145438,0.061,0.182,0.908,2.678,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,pentoxifylline,False
troglitazone,11,11,0,5,0,,GSE134780_HH_v_WT_fat_250_rescue;GSE22206_case_v_control_150_rescue;GSE22206_case_v_control_250_rescue;GSE22206_fibro_case_v_control_100_rescue;GSE22206_fibro_case_v_control_250_rescue,,0,0.7738137902952938,1.0,0.2775272761776247,1.0,1.0604146866275176e-07,4.660114695925391e-05,0.01,0.111,0.277,1.321,MIMIC,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,troglitazone,False
phentolamine,4,4,0,0,0,,,,0,0.7756911396482047,1.0,0.0017138030673284,0.3943460857922826,0.030402000671871,0.5000843496425292,0.028,0.11,1.207,4.52,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,phentolamine,False
cimetidine,3,3,0,0,0,,,,0,0.8136091419220776,1.0,0.1205685022415863,1.0,0.0152123861023228,0.3925736407145438,0.03,0.09,0.726,2.132,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,cimetidine,False
haloperidol,4,4,0,0,0,,,,0,0.8136542042390487,1.0,0.0506342362347048,1.0,0.0151957621966202,0.3835204929315329,0.022,0.09,0.723,2.791,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,haloperidol,False
hydrocortisone,4,4,0,0,0,,,,0,0.813462280384012,1.0,0.0923333065277158,1.0,0.0152666403062562,0.4108661696454894,0.045,0.09,1.095,2.325,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,hydrocortisone,False
dipyridamole,2,2,0,0,0,,,,0,0.8141212792374901,1.0,0.0342412060604446,1.0,0.0304456525386685,0.5000843496425292,0.045,0.089,1.707,3.123,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,dipyridamole,False
eptifibatide,2,2,0,0,0,,,,0,0.813968866235198,1.0,0.0485033108127547,1.0,0.5000000000001071,1.0,0.045,0.089,1.414,2.828,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,eptifibatide,False
macitentan,1,1,0,0,0,,,,0,0.8138255611955535,1.0,0.031028729597336,1.0,0.4999999999995306,1.0,0.089,0.089,3.207,3.207,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,macitentan,False
trimethoprim,1,1,0,0,0,,,,0,0.8143968264169678,1.0,0.007844396983583,1.0,0.4999999999998883,1.0,0.089,0.089,4.598,4.598,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,trimethoprim,False
paclitaxel,9,9,0,5,0,,GSE22206_case_v_control_150_rescue;GSE22206_case_v_control_250_rescue;GSE22206_fibro_case_v_control_100_rescue;GSE22206_fibro_case_v_control_150_rescue;GSE22206_fibro_case_v_control_250_rescue,,0,0.891299783652839,1.0,0.1844742073819822,1.0,1.0552162553701336e-14,3.661600406134364e-12,0.006,0.05,0.361,1.713,MIMIC,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,cytotoxic_cancer,REJECT,not_matched_to_candidate_or_axis; cytotoxic_or_cancer_mechanism; no_significant_fdr_lincs_signal,paclitaxel,False
clobetasol,1,1,0,0,0,,,,0,0.8927301518047598,1.0,0.0048727935829175,0.6555371609371785,0.3423380769053816,1.0,0.049,0.049,4.284,4.284,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,clobetasol,False
flutamide,8,8,0,2,0,,GSE22206_fibro_case_v_control_150_rescue;GSE22206_fibro_case_v_control_250_rescue,,0,0.9691720080852816,1.0,0.0559700046830207,1.0,0.0002229937090686,0.010172030433537,0.003,0.014,0.595,2.423,MIMIC,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,flutamide,False
panobinostat,5,5,0,0,0,,,,0,0.9690120535364076,1.0,0.0499074741698635,1.0,0.0009400973019757,0.0628387910165974,0.003,0.014,0.99,2.8,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,panobinostat,False
quetiapine,5,5,0,0,0,,,,0,0.969299683164726,1.0,0.121858920218235,1.0,0.0037159003089463,0.0863440394998882,0.003,0.014,0.48,2.125,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,quetiapine,False
sildenafil,4,4,0,0,0,,,,0,0.9691433258450448,1.0,0.299604920478604,1.0,0.0018656305641153,0.1559779828054443,0.003,0.014,0.489,1.516,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,sildenafil,False
vardenafil,3,3,0,0,0,,,,0,0.9693346477149328,1.0,0.0474761111874545,1.0,0.0151877548183456,0.4108661696454894,0.005,0.014,1.074,2.843,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,vardenafil,False
argatroban,2,2,0,0,0,,,,0,0.9695585093758162,1.0,0.0336064942540959,1.0,0.185870265504725,1.0,0.007,0.013,1.57,3.139,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,argatroban,False
bexarotene,3,3,0,0,0,,,,0,0.969453018227178,1.0,0.0243745738820771,1.0,0.0150995331312271,0.3896516539537614,0.004,0.013,1.203,3.426,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,bexarotene,False
